RAAA#,Sex,AnimalID,Name,DOB,BrdCds,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HG,GM
PM438,,N11 - 3036,HHOLLN11 - WOOD EMMETT 3036,,,17,-3.4,43,61,0.12,0.34,19,-1,10,9,19,0.23,0.07,2,-0.14,0.02,198,45
PM439,,N11 - 2385,HHOLLN11 - ODOHERTY   2385,,,13,-1.8,49,72,0.14,0.53,21,-3,8,7,19,0.2,0.05,2,-0.19,0.01,182,45
PM440,,N11 - 8355,HHOLLN11 - FEDDES LIBERATION D108- 8355,,,14,-2.4,49,76,0.17,0.59,22,-3,10,7,20,0.46,0.08,12,-0.14,0.01,203,48
PM441,,N11 - 8269,HHOLLN11 - FEDDES DEFENDER Y17-8269,,,15,-2.3,49,72,0.15,0.72,20,-3,12,7,20,0.45,0.05,0,-0.1,0.02,208,47
PM442,,A3 - D104,HHOLLA3 - VF ACQUISITION D104,,,13,-1.2,51,76,0.16,0.41,20,-1,11,7,20,0.33,0.06,3,-0.05,0.03,202,47
PM443,,A3 - D172,HHOLLA3 - VF SILVER BOW D172,,,12,0.1,63,98,0.22,0.72,20,0,12,8,20,0.33,0.05,12,0.01,0.01,211,50
PM444,,A3 - D706,HHOLLA3 - DOING RIGHT,,,12,-0.8,51,77,0.17,0.26,22,-3,10,6,20,0.3,0.05,2,-0.18,0.01,203,48
PM445,,A3 - 3036,HHOLLA3 - WOOD EMMETT 3036,,,15,-1.7,51,74,0.14,0.54,19,0,9,9,20,0.23,0.06,1,-0.15,0.01,206,46
PM446,,A3 - 2385,HHOLLA3 - ODOHERTY   2385,,,12,-0.2,57,84,0.17,0.73,21,-2,7,7,20,0.2,0.04,1,-0.2,0,190,47
PM447,,A3 - 8355,HHOLLA3 - FEDDES LIBERATION D108- 8355,,,12,-0.8,57,88,0.19,0.79,21,-2,9,7,21,0.46,0.08,11,-0.15,0.01,211,49
PM448,,A3 - 8269,HHOLLA3 - FEDDES DEFENDER Y17-8269,,,13,-0.6,57,85,0.17,0.92,20,-3,12,7,21,0.45,0.04,0,-0.11,0.01,216,48
PM449,,A11 - D104,HHOLLA11 - VF ACQUISITION D104,,,14,-2,49,73,0.15,0.44,22,-2,12,7,20,0.34,0.06,4,-0.03,0.03,204,47
PM450,?,A11 - D172,HHOLLA11 - VF SILVER BOW D172,,,13,-0.6,61,95,0.21,0.76,22,-1,13,8,20,0.34,0.05,13,0.02,0.01,213,49
PM451,,A11 - D706,HHOLLA11 - DOING RIGHT,,,13,-1.5,49,74,0.16,0.29,24,-4,11,6,20,0.3,0.05,3,-0.16,0.01,205,48
