RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
424,,G11 - 9191G,HHOLL G11 - LSF SRR CONTROL 9191G,,,142,18,-5.9,51,86,0.22,1.12,26,-1,14,10,17,0.74,0.07,17,0.06,0.02,83,59
417,,G11 - D172,HHOLL G11 - VF SILVER BOW D172,,,143,14,-3.3,58,99,0.26,1.29,21,0,14,9,20,0.45,0.02,17,0.16,0.01,96,47
421,,G11 - J490,HHOLL G11 - BECKTON ORACLE J490 S2,,,120,18,-5.1,48,84,0.22,0.98,23,-3,11,10,17,0.46,0.04,11,0.01,0.01,76,44
423,,G11 - Z124G,HHOLL G11 - LASO SPLASH Z124G,,,121,15,-3.4,54,87,0.21,1.4,28,1,9,8,18,0.62,-0.09,17,0.39,0,68,53
428,,G22 - 1181J,HHOLL G22 - LSF SRR CHARTER 1181J,,,134,14,-2.8,62,103,0.25,1.32,28,2,11,7,19,0.5,0.06,33,0.12,0,78,57
430,,G22 - 1278J,HHOLL G22 - SLB AUTHORITY 1278J,,,115,15,-3.5,61,91,0.19,1.26,32,-4,9,7,19,0.44,-0.09,17,0.28,-0.02,81,35
426,,G22 - 8269,HHOLL G22 - FEDDES DEFENDER Y17-8269,,,98,15,-3.4,58,87,0.18,1.4,32,-3,11,7,20,0.44,-0.03,5,0.08,0,82,16
427,,G22 - 8355,HHOLL G22 - FEDDES LIBERATION D108- 8355,,,111,14,-2.9,57,91,0.21,1.35,29,1,10,6,19,0.52,0.02,16,0.05,0,72,40
432,,G22 - 9191G,HHOLL G22 - LSF SRR CONTROL 9191G,,,138,17,-5.2,56,90,0.21,1.17,30,-1,14,9,19,0.69,0.05,17,0.12,0.02,86,52
425,,G22 - D172,HHOLL G22 - VF SILVER BOW D172,,,139,13,-2.6,62,103,0.26,1.35,24,0,13,8,21,0.41,0,17,0.22,0.01,100,39
429,,G22 - J490,HHOLL G22 - BECKTON ORACLE J490 S2,,,116,17,-4.3,53,88,0.22,1.04,26,-3,10,9,19,0.41,0.02,11,0.07,0.01,80,36
431,,G22 - Z124G,HHOLL G22 - LASO SPLASH Z124G,,,116,14,-2.8,58,92,0.21,1.46,31,1,9,7,19,0.57,-0.11,17,0.45,0,71,45
436,,G25 - 1181J,HHOLL G25 - LSF SRR CHARTER 1181J,,,134,16,-3.5,59,95,0.23,1.25,23,0,11,8,19,0.5,0.07,31,0.06,0,83,52
438,,G25 - 1278J,HHOLL G25 - SLB AUTHORITY 1278J,,,115,16,-4.2,58,84,0.16,1.19,27,-6,10,9,19,0.44,-0.08,15,0.21,-0.01,85,30
434,,G25 - 8269,HHOLL G25 - FEDDES DEFENDER Y17-8269,,,98,16,-4.2,55,79,0.15,1.33,27,-4,11,8,20,0.44,-0.01,3,0.01,0.01,86,12
435,,G25 - 8355,HHOLL G25 - FEDDES LIBERATION D108- 8355,,,111,15,-3.7,54,83,0.19,1.27,24,-1,10,8,19,0.53,0.04,14,-0.02,0,76,35
440,,G25 - 9191G,HHOLL G25 - LSF SRR CONTROL 9191G,,,138,19,-6,53,83,0.19,1.1,25,-2,14,10,19,0.69,0.06,14,0.06,0.02,91,47
433,,G25 - D172,HHOLL G25 - VF SILVER BOW D172,,,139,15,-3.4,59,96,0.23,1.27,19,-2,13,9,21,0.41,0.01,15,0.15,0.01,104,35
437,,G25 - J490,HHOLL G25 - BECKTON ORACLE J490 S2,,,116,19,-5.1,50,81,0.19,0.96,21,-5,10,10,19,0.41,0.04,9,0,0.02,84,32
439,,G25 - Z124G,HHOLL G25 - LASO SPLASH Z124G,,,116,16,-3.5,55,84,0.18,1.38,26,-1,9,8,19,0.57,-0.09,15,0.39,0,76,41
444,,G29 - 1181J,HHOLL G29 - LSF SRR CHARTER 1181J,,,126,14,-2.6,65,105,0.25,1.34,24,1,11,7,17,0.52,0.07,35,0.09,-0.01,67,58
446,,G29 - 1278J,HHOLL G29 - SLB AUTHORITY 1278J,,,107,14,-3.3,63,93,0.19,1.28,28,-5,9,8,17,0.47,-0.09,19,0.23,-0.02,70,37
442,,G29 - 8269,HHOLL G29 - FEDDES DEFENDER Y17-8269,,,89,15,-3.2,60,89,0.18,1.42,28,-3,11,7,17,0.47,-0.02,7,0.04,0,71,18
443,,G29 - 8355,HHOLL G29 - FEDDES LIBERATION D108- 8355,,,103,14,-2.8,59,93,0.21,1.37,25,0,10,7,17,0.55,0.03,18,0,0,61,42
448,,G29 - 9191G,HHOLL G29 - LSF SRR CONTROL 9191G,,,129,17,-5.1,58,92,0.21,1.19,26,-1,14,9,16,0.72,0.06,19,0.09,0.02,75,54
441,,G29 - D172,HHOLL G29 - VF SILVER BOW D172,,,130,13,-2.5,64,106,0.26,1.37,20,0,13,8,19,0.43,0.01,19,0.17,0.01,89,41
445,,G29 - J490,HHOLL G29 - BECKTON ORACLE J490 S2,,,107,17,-4.2,55,91,0.22,1.06,22,-4,10,9,16,0.44,0.03,13,0.03,0.01,69,38
447,,G29 - Z124G,HHOLL G29 - LASO SPLASH Z124G,,,108,14,-2.6,60,94,0.21,1.48,27,1,9,7,17,0.6,-0.1,19,0.41,0,61,47
452,,G34 - 1181J,HHOLL G34 - LSF SRR CHARTER 1181J,,,132,16,-3.4,56,91,0.22,1.17,23,-2,11,8,19,0.49,0.07,28,0.03,0,82,50
454,,G34 - 1278J,HHOLL G34 - SLB AUTHORITY 1278J,,,113,16,-4.2,55,79,0.15,1.12,27,-8,10,9,19,0.43,-0.08,13,0.18,-0.02,85,28
450,,G34 - 8269,HHOLL G34 - FEDDES DEFENDER Y17-8269,,,95,16,-4.1,52,75,0.14,1.26,28,-6,11,8,19,0.43,-0.01,0,-0.02,0.01,86,10
451,,G34 - 8355,HHOLL G34 - FEDDES LIBERATION D108- 8355,,,109,15,-3.6,50,79,0.18,1.2,25,-3,10,8,19,0.51,0.04,12,-0.05,0,76,33
456,,G34 - 9191G,HHOLL G34 - LSF SRR CONTROL 9191G,,,135,19,-5.9,50,78,0.18,1.03,25,-4,14,10,18,0.68,0.06,12,0.03,0.02,90,45
449,,G34 - D172,HHOLL G34 - VF SILVER BOW D172,,,136,15,-3.3,56,91,0.22,1.21,20,-3,14,9,21,0.4,0.01,13,0.12,0.01,104,33
453,,G34 - J490,HHOLL G34 - BECKTON ORACLE J490 S2,,,113,19,-5.1,47,76,0.18,0.89,21,-7,11,10,18,0.4,0.03,6,-0.03,0.01,84,30
455,,G34 - Z124G,HHOLL G34 - LASO SPLASH Z124G,,,114,16,-3.4,52,80,0.17,1.32,26,-2,9,8,19,0.56,-0.09,13,0.36,0,75,38
460,,G35 - 1181J,HHOLL G35 - LSF SRR CHARTER 1181J,,,134,15,-2.7,61,97,0.22,1.26,28,1,11,7,21,0.44,0.06,31,0.02,-0.01,89,45
462,,G35 - 1278J,HHOLL G35 - SLB AUTHORITY 1278J,,,115,15,-3.4,60,85,0.16,1.21,32,-5,9,7,21,0.39,-0.09,15,0.17,-0.02,92,23
458,,G35 - 8269,HHOLL G35 - FEDDES DEFENDER Y17-8269,,,98,15,-3.3,57,81,0.15,1.35,32,-3,11,7,21,0.39,-0.02,3,-0.03,0,93,5
459,,G35 - 8355,HHOLL G35 - FEDDES LIBERATION D108- 8355,,,111,14,-2.8,56,85,0.18,1.29,29,0,10,6,21,0.48,0.03,14,-0.06,0,83,28
464,,G35 - 9191G,HHOLL G35 - LSF SRR CONTROL 9191G,,,137,18,-5.1,55,84,0.18,1.12,30,-1,14,9,20,0.64,0.05,14,0.02,0.01,97,40
457,,G35 - D172,HHOLL G35 - VF SILVER BOW D172,,,139,14,-2.5,61,98,0.23,1.3,24,-1,13,8,23,0.36,0,15,0.11,0,111,27
461,,G35 - J490,HHOLL G35 - BECKTON ORACLE J490 S2,,,116,18,-4.2,52,82,0.19,0.98,26,-4,10,9,20,0.36,0.03,9,-0.04,0.01,91,25
463,,G35 - Z124G,HHOLL G35 - LASO SPLASH Z124G,,,116,14,-2.7,57,86,0.18,1.4,31,1,9,7,21,0.52,-0.1,15,0.35,-0.01,83,33
476,,G60 - 1181J,HHOLL G60 - LSF SRR CHARTER 1181J,,,150,16,-4.1,58,98,0.25,1.32,23,1,12,9,20,0.55,0.08,32,0.05,0,88,62
478,,G60 - 1278J,HHOLL G60 - SLB AUTHORITY 1278J,,,131,16,-4.8,56,86,0.19,1.26,26,-5,10,9,20,0.5,-0.07,17,0.2,-0.02,91,41
474,,G60 - 8269,HHOLL G60 - FEDDES DEFENDER Y17-8269,,,114,16,-4.7,53,82,0.18,1.4,27,-3,12,9,20,0.5,0,4,0,0.01,92,22
475,,G60 - 8355,HHOLL G60 - FEDDES LIBERATION D108- 8355,,,127,15,-4.2,52,86,0.21,1.34,24,0,11,8,20,0.58,0.05,16,-0.03,0,82,46
480,,G60 - 9191G,HHOLL G60 - LSF SRR CONTROL 9191G,,,154,19,-6.6,51,85,0.21,1.17,24,-1,15,11,19,0.75,0.07,16,0.05,0.02,96,58
473,,G60 - D172,HHOLL G60 - VF SILVER BOW D172,,,155,15,-3.9,57,99,0.26,1.35,19,-1,14,10,21,0.46,0.02,17,0.14,0.01,110,45
477,,G60 - J490,HHOLL G60 - BECKTON ORACLE J490 S2,,,132,19,-5.7,48,84,0.22,1.03,21,-4,11,11,19,0.47,0.04,10,0,0.01,90,42
479,,G60 - Z124G,HHOLL G60 - LASO SPLASH Z124G,,,132,16,-4.1,53,87,0.21,1.46,26,1,10,9,20,0.62,-0.08,17,0.38,0,81,51
484,,G65 - 1181J,HHOLL G65 - LSF SRR CHARTER 1181J,,,136,14,-2.2,58,95,0.24,1.21,25,0,11,8,19,0.49,0.06,30,0.07,0,81,55
486,,G65 - 1278J,HHOLL G65 - SLB AUTHORITY 1278J,,,117,15,-3,56,84,0.17,1.15,28,-6,9,8,19,0.44,-0.09,14,0.22,-0.02,84,33
482,,G65 - 8269,HHOLL G65 - FEDDES DEFENDER Y17-8269,,,100,15,-2.9,53,79,0.16,1.3,29,-5,11,7,20,0.44,-0.02,2,0.02,0,85,15
