CowID,BullID,PairID,RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
L66 , 1278J,L66 - 1278J,PM781,,L66 - 1278J,HHOLL L66 - SLB AUTHORITY 1278J,,,124,15,-3.1,59,86,0.17,0.45,32,-6,9,8,18,0.54,-0.08,11,0.15,-0.02,77,47
K32 , 1278J,K32 - 1278J,PM487,,K32 - 1278J,HHOLL K32 - SLB AUTHORITY 1278J,,,125,15,-3.4,52,78,0.16,0.26,31,-7,10,8,15,0.6,-0.05,17,0.13,-0.02,61,64
N56 , 9191G,N56 - 9191G,PM23,,N56 - 9191G,HHOLLN56 - LSF SRR CONTROL 9191G,,,155,14,-2.7,57,89,0.2,0.42,30,0,13,8,22,0.64,0.05,14,0.01,0.01,101,53
L20 , 1278J,L20 - 1278J,PM683,,L20 - 1278J,HHOLL L20 - SLB AUTHORITY 1278J,,,119,15,-3.0,65,96,0.2,0.62,31,-7,9,8,15,0.65,-0.1,13,0.22,-0.02,62,56
K68 , 9191G,K68 - 9191G,PM618,,K68 - 9191G,HHOLL K68 - LSF SRR CONTROL 9191G,,,147,18,-5.4,58,92,0.21,0.5,32,-1,13,10,18,0.78,0.06,12,0.03,0.02,83,64
L28 , 1278J,L28 - 1278J,PM697,,L28 - 1278J,HHOLL L28 - SLB AUTHORITY 1278J,,,132,15,-3.4,59,88,0.18,0.42,30,-5,9,8,17,0.62,-0.12,15,0.35,-0.02,70,62
H59 , 1181J,H59 - 1181J,PM346,,H59 - 1181J,HHOLL H59 - LSF SRR CHARTER 1181J,,,143,13,-1.9,65,105,0.25,0.65,20,2,11,7,19,0.51,0.06,32,0.05,-0.01,75,67
K75 , J490,K75 - J490,PM491,,K75 - J490,HHOLL K75 - BECKTON ORACLE J490 S2,,,102,16,-3.0,50,84,0.22,0.26,23,-3,11,8,15,0.42,0.04,9,-0.02,0.01,53,49
J45 , 1278J,J45 - 1278J,PM396,,J45 - 1278J,HHOLL J45 - SLB AUTHORITY 1278J,,,126,14,-2.7,62,91,0.18,0.56,34,-5,9,7,16,0.6,-0.13,19,0.37,-0.02,65,61
J65 , D172,J65 - D172,PM432,,J65 - D172,HHOLL J65 - VF SILVER BOW D172,,,150,13,-2.4,66,108,0.27,0.91,26,3,13,8,19,0.54,-0.05,22,0.36,0.0,85,64
K69 , 1278J,K69 - 1278J,PM613,,K69 - 1278J,HHOLL K69 - SLB AUTHORITY 1278J,,,113,15,-3.5,67,97,0.19,0.67,34,-4,9,8,16,0.54,-0.08,16,0.21,-0.02,66,47
G60 , 1181J,G60 - 1181J,PM262,,G60 - 1181J,HHOLL G60 - LSF SRR CHARTER 1181J,,,160,16,-4.2,59,99,0.25,0.68,24,2,12,9,20,0.56,0.07,30,0.05,0.0,88,72
J51 , 1278J,J51 - 1278J,PM410,,J51 - 1278J,HHOLL J51 - SLB AUTHORITY 1278J,,,138,16,-4.2,55,85,0.19,0.46,29,-7,10,9,18,0.51,-0.07,14,0.17,-0.02,84,54
K25 , J490,K25 - J490,PM533,,K25 - J490,HHOLL K25 - BECKTON ORACLE J490 S2,,,108,17,-3.6,53,86,0.21,0.33,24,-3,10,9,16,0.48,0.04,6,-0.05,0.01,62,46
G09 , Z124G,G09 - Z124G,PM279,,G09 - Z124G,HHOLL G09 - LASO SPLASH Z124G,,,128,13,-2.2,59,96,0.23,0.69,26,2,10,7,17,0.62,-0.1,18,0.42,0.0,60,68
L44 , 8269,L44 - 8269,PM735,,L44 - 8269,HHOLL L44 - FEDDES DEFENDER Y17-8269,,,120,16,-4.0,56,85,0.18,0.5,30,-3,11,8,18,0.61,0.02,7,-0.01,0.01,73,48
G07 , 1181J,G07 - 1181J,PM206,,G07 - 1181J,HHOLL G07 - LSF SRR CHARTER 1181J,,,145,15,-2.7,56,90,0.22,0.45,19,-1,11,8,20,0.5,0.07,27,0.01,0.0,82,63
