CowID,BullID,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
K11 , 1278J,119,16,-4.3,57,85,0.18,0.44,27,-7,9,8,15,0.62,-0.1,12,0.19,-0.02,62,58
F19 , D172,138,16,-3.5,50,83,0.21,0.42,20,-4,14,10,18,0.41,0.01,13,0.11,0.01,89,49
K21 , D172,135,14,-2.5,55,93,0.24,0.54,22,-1,13,8,19,0.42,0,14,0.13,0.01,84,51
L63 , Z124G,119,12,-1,66,103,0.23,0.83,31,4,9,6,16,0.69,-0.17,21,0.62,-0.01,47,72
G65 , 1278J,130,15,-3.1,55,82,0.17,0.25,31,-7,9,9,19,0.47,-0.08,12,0.18,-0.01,82,48
H50 , D172,142,13,-1.8,61,103,0.26,0.71,24,-1,13,8,19,0.43,0,18,0.19,0.01,89,53
L20 , 1278J,119,15,-3,65,96,0.2,0.62,31,-7,9,8,15,0.65,-0.1,13,0.22,-0.02,62,56
K69 , 1278J,113,15,-3.5,67,97,0.19,0.67,34,-4,9,8,16,0.54,-0.08,16,0.21,-0.02,66,47
J45 , 1181J,143,13,-1.6,67,108,0.26,0.82,30,3,11,6,17,0.63,0.01,36,0.26,-0.01,63,80
K82 , 1181J,137,15,-3,65,105,0.25,0.69,26,2,11,7,18,0.5,0.06,33,0.11,0,72,65
C47 , 9191G,151,15,-3.7,55,86,0.2,0.44,30,1,13,9,21,0.63,0.06,15,0.02,0.01,96,56
F83 , 9191G,142,16,-4.8,58,90,0.2,0.47,29,2,13,10,19,0.63,0.05,17,0.03,0.01,86,56
G07 , 1181J,145,15,-2.7,56,90,0.22,0.45,19,-1,11,8,20,0.5,0.07,27,0.01,0,82,63
L12 , 9191G,152,17,-5.2,57,92,0.22,0.57,29,1,14,10,17,0.85,0.02,17,0.21,0.02,76,76
K51 , D172,149,14,-2.6,57,99,0.27,0.7,19,0,13,9,19,0.47,0.01,17,0.14,0.01,90,60
L10 , D172,151,13,-1.4,54,87,0.21,0.39,20,-5,13,8,22,0.38,0,12,0.07,0,107,44
K86 , 1181J,139,14,-1.6,68,110,0.26,0.67,25,3,11,7,19,0.5,0.06,32,0.09,0,74,66
H59 , D172,146,13,-1.9,62,103,0.26,0.69,16,0,13,8,20,0.44,0,16,0.13,0,94,51
C16 , D172,150,14,-2.1,58,93,0.22,0.51,20,-3,13,8,23,0.35,0,13,0.07,0,111,39
L73 , 1181J,133,14,-2.3,63,102,0.25,0.74,28,3,11,7,16,0.68,0.02,28,0.13,-0.01,56,77
J41 ,8269,107,16,-4.3,55,82,0.17,0.55,28,-5,11,8,16,0.6,-0.02,1,0.01,0,66,41
L64 , J490,125,18,-4.8,49,86,0.23,0.45,25,0,11,10,15,0.6,-0.01,12,0.16,0.01,57,68
K40 , 1181J,128,15,-3.2,60,96,0.23,0.58,23,-1,11,7,16,0.62,0.05,26,0.03,-0.01,59,69
H26 , 9191G,154,18,-5.3,55,87,0.2,0.45,27,0,14,10,20,0.69,0.06,13,0.03,0.02,98,56
L29 ,8269,102,15,-3.8,54,80,0.16,0.48,29,-5,11,7,15,0.63,-0.05,1,0.06,0,59,44
J76 , Z124G,124,13,-2.2,53,83,0.19,0.45,29,-1,10,7,15,0.7,-0.09,19,0.37,-0.01,49,75
E59 , D172,145,12,-0.9,60,98,0.24,0.6,21,-3,13,8,21,0.35,0,18,0.12,0,100,45
K68 , 9191G,147,18,-5.4,58,92,0.21,0.5,32,-1,13,10,18,0.78,0.06,12,0.03,0.02,83,64
H31 , 1278J,124,16,-3.8,54,79,0.16,0.27,26,-7,9,9,18,0.49,-0.07,9,0.14,-0.01,80,44
L70 , 1181J,139,13,-1.8,66,107,0.26,0.82,30,5,11,6,18,0.62,0.01,33,0.22,-0.01,63,76
J80 , Z124G,116,14,-3.2,56,87,0.19,0.57,27,-2,10,7,16,0.68,-0.13,11,0.4,-0.01,54,62
L35 , 9191G,135,15,-3.7,50,77,0.17,0.28,32,-2,13,9,18,0.63,0.05,15,0.02,0.01,78,57
K52 , 9191G,151,16,-5,53,90,0.23,0.51,26,1,14,9,16,0.87,0.02,15,0.17,0.02,69,81
D29 , D172,142,14,-2.5,56,92,0.23,0.56,20,-2,13,9,20,0.41,0.01,12,0.1,0.01,96,46
D19 , 1181J,141,15,-3,56,91,0.22,0.51,25,0,11,9,19,0.49,0.07,27,0.02,0,79,62
F81 , 1278J,124,17,-4.9,52,77,0.16,0.3,32,-6,9,9,18,0.47,-0.08,12,0.17,-0.01,76,48
G29 , 1181J,138,14,-2.7,65,105,0.25,0.69,24,2,11,7,18,0.52,0.06,34,0.07,-0.01,69,69
K06 , 9191G,137,16,-4.6,47,73,0.17,0.15,26,-2,13,9,19,0.62,0.05,10,-0.05,0.01,84,54
C17 , D172,148,14,-2.2,61,99,0.24,0.63,20,-2,13,9,21,0.38,0,16,0.1,0,104,44
K60 ,8269,115,15,-3.5,52,79,0.17,0.42,29,-3,11,7,18,0.58,0.02,4,-0.08,0,71,44
H61 ,8269,117,18,-5,49,72,0.14,0.33,27,-5,11,10,20,0.44,0,0,-0.04,0.01,90,27
C66 , 9191G,139,17,-4.9,55,85,0.19,0.36,26,-2,13,9,19,0.63,0.06,12,-0.04,0.01,88,51
L61 , 9191G,141,18,-5.8,53,85,0.2,0.38,29,-2,13,10,17,0.78,0.07,10,-0.01,0.02,76,65
